icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,snapshot_time,speed_ms,speed_kmh,speed_anomaly,altitude_diff,altitude_anomaly,is_climbing,is_descending,vertical_rate_abs,vertical_anomaly,lat_bin,lon_bin
a8bb84,N6619A,United States,2026-04-29 13:24:01+00:00,1777469041,-82.7386,27.8109,213.36,False,42.99,201.04,1.3,,236.22,7151.0,False,0,2026-04-29 13:24:01+00:00,42.99,154.764,0,-22.859999999999985,0,1,0,1.3,0,11,9
a9ee7e,N739WR,United States,2026-04-29 13:24:00+00:00,1777469040,-74.5399,40.3247,784.86,False,47.04,311.01,1.3,,746.76,,False,0,2026-04-29 13:24:01+00:00,47.04,169.344,0,38.10000000000002,0,1,0,1.3,0,13,10
780a18,CPA252,China,2026-04-29 13:24:01+00:00,1777469041,18.9536,47.2591,10058.4,False,276.97,118.75,-0.33,,10058.4,7573.0,False,0,2026-04-29 13:24:01+00:00,276.97,997.0920000000001,0,0.0,0,0,1,0.33,0,14,19
80073b,AIC4309,India,2026-04-29 13:22:39+00:00,1777468964,57.0243,24.5896,7955.28,False,213.93,288.65,-11.05,,8404.86,,False,0,2026-04-29 13:24:01+00:00,213.93,770.148,0,-449.58000000000084,0,0,1,11.05,0,10,23
80073a,AIC2026,India,2026-04-29 13:23:31+00:00,1777469021,28.0919,32.4987,11887.2,False,271.42,156.54,0.0,,12214.86,1657.0,False,0,2026-04-29 13:24:01+00:00,271.42,977.1120000000001,0,-327.65999999999985,0,0,0,0.0,0,11,20
a2bdff,ENY4091,United States,2026-04-29 13:24:01+00:00,1777469041,-80.9398,26.61,7056.12,False,204.0,320.73,3.9,,7406.64,6010.0,False,0,2026-04-29 13:24:01+00:00,204.0,734.4,0,-350.52000000000044,0,1,0,3.9,0,11,9
4bb208,THY7PE,Turkey,2026-04-29 13:24:00+00:00,1777469040,23.1004,43.3085,10972.8,False,193.43,285.11,0.0,,11071.86,4143.0,False,0,2026-04-29 13:24:01+00:00,193.43,696.3480000000001,0,-99.06000000000131,0,0,0,0.0,0,13,20
a46788,N383MF,United States,2026-04-29 13:24:01+00:00,1777469041,-81.6115,28.3365,1181.1,False,71.65,201.04,0.0,,1234.44,3204.0,False,0,2026-04-29 13:24:01+00:00,71.65,257.94000000000005,0,-53.340000000000146,0,0,0,0.0,0,11,9
4bb209,THY6RB,Turkey,2026-04-29 13:24:00+00:00,1777469040,22.9276,47.4304,10972.8,False,201.3,324.36,0.0,,10896.6,5323.0,False,0,2026-04-29 13:24:01+00:00,201.3,724.6800000000001,0,76.19999999999891,0,0,0,0.0,0,14,20
4bb207,THY60C,Turkey,2026-04-29 13:24:01+00:00,1777469041,16.2139,48.3697,10363.2,False,204.29,305.57,0.0,,10386.06,5305.0,False,0,2026-04-29 13:24:01+00:00,204.29,735.444,0,-22.859999999998763,0,0,0,0.0,0,14,19
4bb204,THY7HQ,Turkey,2026-04-29 13:24:00+00:00,1777469040,22.1888,40.5964,10370.82,False,210.2,263.54,0.0,,10576.56,2320.0,False,0,2026-04-29 13:24:01+00:00,210.2,756.72,0,-205.73999999999978,0,0,0,0.0,0,13,20
abe09a,SWA4454,United States,2026-04-29 13:24:00+00:00,1777469041,-103.5274,40.2569,6553.2,False,170.7,255.34,-11.7,,6629.4,1107.0,False,0,2026-04-29 13:24:01+00:00,170.7,614.52,0,-76.19999999999982,0,0,1,11.7,0,13,7
a20153,CXK434,United States,2026-04-29 13:24:01+00:00,1777469041,-105.1106,39.9032,1691.64,False,44.8,124.24,4.55,,1737.36,1200.0,False,0,2026-04-29 13:24:01+00:00,44.8,161.28,0,-45.7199999999998,0,1,0,4.55,0,13,7
a1e13a,N220CG,United States,2026-04-29 13:20:29+00:00,1777468829,-95.3114,29.6727,243.84,False,66.22,133.74,-4.55,,213.36,,False,0,2026-04-29 13:24:01+00:00,66.22,238.392,0,30.47999999999999,0,0,1,4.55,0,11,8
4bb202,THY8ZF,Turkey,2026-04-29 13:24:00+00:00,1777469040,47.3828,40.7965,10317.48,False,218.64,269.6,4.88,,10447.02,1321.0,False,0,2026-04-29 13:24:01+00:00,218.64,787.1039999999999,0,-129.54000000000087,0,1,0,4.88,0,13,22
a20150,CXK159,United States,2026-04-29 13:23:27+00:00,1777469026,-88.2225,41.9115,381.0,False,41.2,254.05,-4.23,,350.52,,False,0,2026-04-29 13:24:01+00:00,41.2,148.32000000000002,0,30.480000000000018,0,0,1,4.23,0,13,8
a1f480,CXK334,United States,2026-04-29 13:24:00+00:00,1777469040,-77.5564,39.0989,289.56,False,43.75,267.98,-2.28,,259.08,,False,0,2026-04-29 13:24:01+00:00,43.75,157.5,0,30.480000000000018,0,0,1,2.28,0,13,9
80073f,AIC157,India,2026-04-29 13:23:59+00:00,1777469040,33.3541,29.4126,11582.4,False,211.98,287.95,-0.33,,11971.02,4756.0,False,0,2026-04-29 13:24:01+00:00,211.98,763.1279999999999,0,-388.6200000000008,0,0,1,0.33,0,11,21
0200af,RAM572,Morocco,2026-04-29 13:24:01+00:00,1777469041,-6.1428,33.8165,8641.08,False,249.79,65.55,8.13,,8938.26,6415.0,False,0,2026-04-29 13:24:01+00:00,249.79,899.244,0,-297.1800000000003,0,1,0,8.13,0,12,17
80073d,AIC428,India,2026-04-29 13:24:01+00:00,1777469041,76.9687,28.5715,861.06,False,86.84,103.71,-4.88,,754.38,,False,0,2026-04-29 13:24:01+00:00,86.84,312.624,0,106.67999999999995,0,0,1,4.88,0,11,25
e48fc1,TAM3838,Brazil,2026-04-29 13:24:00+00:00,1777469040,-47.5694,-24.8715,11582.4,False,211.92,212.61,0.0,,12237.72,3537.0,False,0,2026-04-29 13:24:01+00:00,211.92,762.9119999999999,0,-655.3199999999997,0,0,0,0.0,0,2,12
4bb20a,THY9TF,Turkey,2026-04-29 13:24:00+00:00,1777469040,14.3457,44.9978,11163.3,False,252.2,106.11,3.9,,11315.7,232.0,False,0,2026-04-29 13:24:01+00:00,252.2,907.92,0,-152.40000000000146,0,1,0,3.9,0,13,19
3ddddd,BPO866,Germany,2026-04-29 13:19:26+00:00,1777468773,9.9074,53.9347,-15.24,False,38.56,346.89,-2.6,,167.64,23.0,False,0,2026-04-29 13:24:01+00:00,38.56,138.816,0,-182.88,1,0,1,2.6,0,15,18
4bb219,THY1WS,Turkey,2026-04-29 13:24:00+00:00,1777469040,28.3396,40.8635,7513.32,False,196.74,258.69,6.5,,7680.96,5160.0,False,0,2026-04-29 13:24:01+00:00,196.74,708.264,0,-167.64000000000033,0,1,0,6.5,0,13,20
4bb214,THY6UZ,Turkey,2026-04-29 13:24:01+00:00,1777469041,17.0647,47.3976,10355.58,False,193.07,297.79,0.0,,10393.68,5375.0,False,0,2026-04-29 13:24:01+00:00,193.07,695.052,0,-38.100000000000364,0,0,0,0.0,0,14,19
a6f5fc,DAL485,United States,2026-04-29 13:24:01+00:00,1777469041,-124.6835,46.4786,10645.14,False,240.45,75.25,-4.23,,10820.4,,False,0,2026-04-29 13:24:01+00:00,240.45,865.62,0,-175.26000000000022,0,0,1,4.23,0,14,4
